,step,charge,error
0,5400.0,3.6568764655629553,0.010036334922628237
1,5500.0,5.943580740956808,0.010875466787131152
2,5600.0,7.921192671432207,0.011963243975791333
3,5700.0,11.136976354318236,0.013073537166965616
4,5800.0,13.322306728886332,0.013935766427907498
5,5900.0,16.543674080366774,0.013832885070848788
6,6000.0,20.45380773831058,0.040609895648857565
7,6100.0,23.534830728556937,0.041571005599868094
8,6200.0,26.235659280169774,0.03831097071356502
9,6300.0,29.992100930517132,0.04119131614455133
10,6400.0,32.99106552357448,0.040334312826512494
11,6500.0,36.573103523039734,0.045855227821696216
12,6600.0,38.788745687034925,0.04952247594834486
13,6700.0,39.42515515882919,0.04527270700084028
14,6800.0,41.156632560068545,0.046921925433495215
15,6900.0,39.604493229610405,0.04600026967442321
16,7000.0,38.696223377624705,0.05231832038500341
17,7100.0,38.63824753537497,0.047957512318151534
